date,number_commits
2014-09-30T16:35:49Z,1
2014-09-30T16:42:06Z,1
2014-09-30T16:49:18Z,1
2014-09-30T16:54:05Z,1
2014-09-30T17:29:02Z,1
2014-09-30T17:33:40Z,1
2014-09-30T18:40:29Z,1
2014-09-30T18:44:50Z,1
2014-09-30T18:45:19Z,1
2014-09-30T18:53:18Z,1
2014-09-30T18:54:29Z,1
2014-09-30T18:58:31Z,1
2014-09-30T19:32:14Z,1
2014-09-30T19:52:12Z,1
2014-09-30T20:36:01Z,1
2014-09-30T20:36:55Z,1
2014-09-30T20:47:35Z,1
2014-09-30T21:09:23Z,1
2014-09-30T21:36:32Z,1
2014-09-30T21:50:48Z,1
2014-09-30T21:59:02Z,1
2014-09-30T22:02:06Z,1
2014-09-30T23:56:44Z,1
2014-10-01T00:20:52Z,1
2014-10-01T08:28:51Z,1
2014-10-01T12:22:57Z,1
2014-10-01T16:13:59Z,1
2014-10-01T16:14:23Z,1
2014-10-01T22:10:23Z,1
2014-10-01T22:19:34Z,1
2014-10-01T22:20:24Z,1
2014-10-03T00:51:33Z,1
2014-10-03T00:58:50Z,1
2014-10-03T01:12:10Z,1
2014-10-04T03:06:42Z,1
2014-10-04T03:09:38Z,1
2014-10-06T19:47:16Z,1
2014-10-06T21:18:25Z,1
2014-10-06T21:23:23Z,1
2014-10-06T23:35:58Z,1
2014-10-07T00:38:13Z,1
2014-10-07T17:53:24Z,1
2014-10-07T19:40:12Z,1
2014-10-07T20:01:41Z,1
2014-10-07T20:35:39Z,1
2014-10-07T20:50:32Z,1
2014-10-07T20:57:03Z,1
2014-10-07T21:19:59Z,1
2014-10-07T21:27:47Z,1
2014-10-07T21:30:20Z,1
2014-10-07T21:30:26Z,1
2014-10-07T21:48:49Z,2
2014-10-08T17:51:00Z,1
2014-10-08T17:56:00Z,1
2014-10-09T17:26:39Z,1
2014-10-09T17:28:33Z,1
2014-10-09T17:33:31Z,1
2014-10-09T21:21:38Z,1
2014-10-09T21:24:48Z,1
2014-10-09T21:24:53Z,1
2014-10-10T00:04:36Z,1
2014-10-10T17:19:33Z,1
2014-10-10T19:41:35Z,1
2014-10-10T21:08:14Z,2
2014-10-10T23:54:33Z,1
2014-10-11T00:00:50Z,1
2014-10-12T18:26:46Z,1
2014-10-12T20:59:51Z,1
2014-10-13T14:00:44Z,1
2014-10-13T18:10:17Z,1
2014-10-13T18:10:27Z,1
2014-10-13T18:32:46Z,1
2014-10-13T19:27:15Z,1
2014-10-13T19:48:12Z,1
2014-10-13T19:50:41Z,1
2014-10-13T19:50:45Z,1
2014-10-13T21:33:45Z,1
2014-10-13T21:45:34Z,1
2014-10-13T21:53:24Z,1
2014-10-14T06:56:09Z,1
2014-10-14T13:02:40Z,1
2014-10-14T13:16:02Z,1
2014-10-14T13:22:19Z,1
2014-10-15T16:19:10Z,1
2014-10-15T17:02:56Z,1
2014-10-15T17:39:28Z,1
2014-10-15T18:26:03Z,1
2014-10-16T20:17:04Z,1
2014-10-17T07:10:36Z,1
2014-10-17T07:13:30Z,1
2014-10-17T15:31:18Z,1
2014-10-17T16:32:37Z,1
2014-10-19T21:33:16Z,1
2014-10-19T23:04:52Z,1
2014-10-19T23:14:26Z,1
2014-10-19T23:38:21Z,1
2014-10-19T23:42:12Z,1
2014-10-20T01:29:34Z,1
2014-10-20T01:38:20Z,1
2014-10-20T04:22:10Z,1
2014-10-20T20:19:21Z,1
2014-10-20T21:11:49Z,1
2014-10-20T23:23:45Z,1
2014-10-21T07:09:19Z,1
2014-10-21T11:01:39Z,1
2014-10-21T17:23:48Z,1
2014-10-21T21:09:11Z,1
2014-10-21T22:30:02Z,1
2014-10-21T22:30:29Z,1
2014-10-21T22:36:49Z,1
2014-10-21T22:47:31Z,1
2014-10-21T22:47:47Z,1
2014-10-21T23:08:56Z,1
2014-10-21T23:26:17Z,1
2014-10-22T00:00:39Z,1
2014-10-22T00:24:44Z,1
2014-10-22T00:46:24Z,1
2014-10-22T01:56:32Z,1
2014-10-22T02:54:53Z,1
2014-10-22T04:55:24Z,1
2014-10-22T05:11:26Z,1
2014-10-22T06:38:26Z,1
2014-10-22T06:39:58Z,1
2014-10-22T07:18:17Z,1
2014-10-22T15:58:31Z,1
2014-10-22T21:25:59Z,1
2014-10-22T21:38:29Z,1
2014-10-22T23:16:10Z,1
2014-10-22T23:16:28Z,1
2014-10-22T23:25:27Z,1
2014-10-22T23:25:32Z,1
2014-10-23T01:02:22Z,1
2014-10-23T18:38:01Z,1
2014-10-23T19:49:44Z,1
2014-10-23T21:30:02Z,1
2014-10-23T21:33:25Z,1
2014-10-23T21:37:55Z,1
2014-10-23T21:39:51Z,1
2014-10-24T00:24:06Z,1
2014-10-24T18:07:52Z,1
2014-10-24T18:09:02Z,1
2014-10-24T18:28:42Z,1
