id,created_at,closed_at
1313049271,2023-04-13T19:41:31Z,2023-04-17T13:23:48Z
1312976720,2023-04-13T18:39:27Z,2023-06-16T08:54:10Z
1312695567,2023-04-13T15:13:32Z,2023-05-31T11:21:35Z
1312499450,2023-04-13T13:17:31Z,
1312198517,2023-04-13T09:33:28Z,2023-04-17T13:20:55Z
1310621778,2023-04-12T10:19:52Z,2023-04-13T09:56:13Z
1309642586,2023-04-11T20:39:42Z,2023-04-11T20:50:05Z
1307029511,2023-04-10T04:45:22Z,2023-04-10T05:37:10Z
1304793290,2023-04-06T13:52:28Z,2023-04-13T09:35:02Z
1302221553,2023-04-04T20:07:58Z,2023-04-06T08:51:18Z
1300354181,2023-04-03T16:25:14Z,2023-04-12T09:42:30Z
1298387565,2023-03-31T21:50:30Z,2023-04-01T01:56:04Z
1296856639,2023-03-30T21:05:30Z,2023-04-17T12:22:44Z
1290471365,2023-03-26T20:10:09Z,2023-04-12T10:26:40Z
1290298455,2023-03-26T10:19:12Z,2023-04-12T10:26:48Z
1290165396,2023-03-25T22:26:55Z,2023-03-26T23:58:20Z
1290071630,2023-03-25T16:01:43Z,2023-03-27T17:22:05Z
1290071100,2023-03-25T15:59:45Z,2023-03-27T17:21:33Z
1288735036,2023-03-24T09:31:38Z,2023-06-12T19:39:23Z
1288685206,2023-03-24T08:53:23Z,2023-03-24T19:40:40Z
1285807318,2023-03-22T12:50:13Z,2023-03-23T10:36:23Z
1282810318,2023-03-20T15:09:14Z,2023-03-23T05:29:39Z
1281620610,2023-03-19T13:36:22Z,2023-03-19T20:19:22Z
1281426107,2023-03-19T00:17:45Z,2023-04-13T09:45:18Z
1281319893,2023-03-18T20:49:18Z,2023-05-16T09:06:05Z
1280815381,2023-03-17T22:43:21Z,2023-03-22T12:44:38Z
1279853237,2023-03-17T08:29:32Z,2023-03-23T05:31:49Z
1279162121,2023-03-16T19:16:49Z,2023-05-05T13:12:13Z
1278793095,2023-03-16T15:04:43Z,2023-04-20T10:58:12Z
1278592254,2023-03-16T13:30:57Z,2023-04-21T19:28:41Z
1278498748,2023-03-16T12:27:09Z,2023-06-19T10:32:14Z
