timestamp,project,code|design-debt,requirement-debt,documentation-debt,test-debt
1569240692,flink,1,0,0,0
1569346788,flink,1,0,0,0
1569421192,flink,1,0,0,0
1569421300,flink,1,0,0,0
1569586690,flink,2,0,0,0
1569652956,flink,0,0,0,0
1569653108,flink,-4,-4,0,0
1569847506,flink,0,0,0,0
1570016677,flink,0,0,0,0
1570032019,flink,2,0,0,0
1570527803,flink,-3,-2,0,-2
1570812142,flink,-1,0,0,0
1571039770,flink,3,0,0,0
1571120224,flink,2,0,0,0
1571130942,flink,0,-1,0,0
1571163190,flink,0,-1,0,0
1571227561,flink,2,-1,0,0
1571227562,flink,0,1,0,0
1571227563,flink,0,0,0,0
1571448183,flink,-1,0,0,0
1571838961,flink,1,0,0,0
1571867104,flink,0,1,0,0
1571986464,flink,0,1,0,0
1572017273,flink,0,0,0,0
1572017654,flink,1,2,0,0
1572017658,flink,0,0,0,0
1572017659,flink,-1,0,0,0
1572037258,flink,0,-2,0,0
1572250849,flink,1,0,0,0
1572250854,flink,2,0,0,0
1572336224,flink,2,0,0,0
1572354007,flink,2,1,0,0
1572370113,flink,0,0,0,0
1572445698,flink,1,0,0,0
1572460512,flink,1,0,0,0
1572510186,flink,-1,0,0,0
1572547364,flink,0,0,0,0
1572611944,flink,2,0,0,0
1572629669,flink,1,0,0,0
1572949434,flink,1,0,0,0
1573080877,flink,1,0,0,0
1573080915,flink,1,0,0,0
1573080949,flink,1,0,0,0
1573132903,flink,-1,0,0,0
1573135000,flink,1,0,0,0
1573147908,flink,7,0,0,0
1573166019,flink,1,0,0,0
1573204785,flink,1,-1,0,0
1573254886,flink,-1,0,0,0
1573542241,flink,0,-2,0,0
1573563017,flink,1,1,0,0
1573589348,flink,-1,0,0,0
1573703723,flink,0,-1,0,0
1573741220,flink,2,1,0,0
1573748980,flink,1,0,0,0
1573802839,flink,0,0,0,0
1573827185,flink,0,0,0,0
1573839837,flink,0,0,0,0
1573847850,flink,5,0,0,1
1574156362,flink,0,0,0,0
1574158031,flink,1,0,0,0
1574178868,flink,0,0,0,0
1574221348,flink,-2,0,0,0
1574221349,flink,1,0,0,0
1574231203,flink,1,-1,0,0
1574252117,flink,0,-1,0,0
1574258732,flink,0,0,0,0
1574413970,flink,-1,0,0,0
1574425019,flink,1,0,0,0
1574651844,flink,0,0,0,0
1574747982,flink,1,0,0,0
1574779673,flink,5,0,0,0
1574826911,flink,1,0,0,0
1575268600,flink,0,0,0,0
1575274120,flink,3,0,0,0
1575301958,flink,6,0,0,0
1575337458,flink,3,0,0,0
1575337477,flink,-2,-2,0,0
1575360395,flink,-1,-2,0,0
1575369058,flink,1,0,0,0
1575379440,flink,-1,0,0,0
1575386971,flink,-2,0,0,-2
1575473395,flink,-2,0,0,0
1575496306,flink,0,0,1,0
1575509487,flink,0,-1,0,0
1575596567,flink,1,0,0,0
1575630276,flink,3,0,0,0
1575640631,flink,3,0,0,0
1575644605,flink,2,-1,0,0
1575684556,flink,1,0,0,0
1575687055,flink,0,1,0,0
1575695131,flink,0,1,0,0
1575698112,flink,1,2,0,0
1575720999,flink,2,0,0,0
1575731813,flink,0,-1,0,0
1575758073,flink,-1,0,0,0
1575788199,flink,1,0,0,0
1575822108,flink,1,0,0,0
1575893908,flink,0,1,0,0
1576069281,flink,2,0,0,0
