timestamp,project,commits_per_14days
2023-02-23,dubbo,72
2023-03-09,dubbo,75
2023-03-23,dubbo,86
2023-04-06,dubbo,80
2023-04-20,dubbo,45
2023-05-04,dubbo,55
2023-05-18,dubbo,59
2023-06-01,dubbo,59
2023-06-15,dubbo,53
2023-06-29,dubbo,45
2023-07-13,dubbo,54
2023-07-27,dubbo,42
2023-08-10,dubbo,41
2023-08-24,dubbo,47
2023-09-07,dubbo,38
2023-09-21,dubbo,48
2023-10-05,dubbo,55
2023-10-19,dubbo,39
2023-11-02,dubbo,45
2023-11-16,dubbo,36
2023-11-30,dubbo,45
2023-12-14,dubbo,66
2023-12-28,dubbo,21
2024-01-11,dubbo,20
2010-12-15,flink,30
2010-12-29,flink,52
2011-01-12,flink,58
2011-01-26,flink,115
2011-02-09,flink,118
2011-02-23,flink,122
2011-03-09,flink,155
2011-03-23,flink,98
2011-04-06,flink,60
2011-04-20,flink,19
2011-05-04,flink,27
2011-05-18,flink,25
2011-06-01,flink,49
2011-06-15,flink,38
2011-06-29,flink,47
2011-07-13,flink,77
2011-07-27,flink,97
2011-08-10,flink,75
2011-08-24,flink,85
2011-09-07,flink,85
2011-09-21,flink,30
2011-10-05,flink,95
2011-10-19,flink,107
2011-11-02,flink,67
2011-11-16,flink,118
2011-11-30,flink,45
2011-12-14,flink,22
2011-12-28,flink,20
2012-01-11,flink,109
2012-01-25,flink,148
2012-02-08,flink,55
2012-02-22,flink,89
2012-03-07,flink,70
2012-03-21,flink,36
2012-04-04,flink,27
2012-04-18,flink,62
2012-05-02,flink,66
2012-05-16,flink,33
2012-05-30,flink,41
2012-06-13,flink,120
2012-06-27,flink,84
2012-07-11,flink,134
2012-07-25,flink,54
2012-08-08,flink,69
2012-08-22,flink,10
2012-09-05,flink,7
2012-09-19,flink,33
2012-10-03,flink,90
2012-10-17,flink,94
2012-10-31,flink,32
2012-11-14,flink,31
2012-11-28,flink,2
2012-12-12,flink,2
2012-12-26,flink,2
2013-01-09,flink,7
2013-01-23,flink,22
2013-02-06,flink,18
2013-02-20,flink,1
2013-03-06,flink,0
2013-03-20,flink,5
2013-04-03,flink,12
2013-04-17,flink,9
2013-05-01,flink,21
2013-05-15,flink,4
2013-05-29,flink,5
2013-06-12,flink,11
2013-06-26,flink,6
2013-07-10,flink,17
2013-07-24,flink,5
2013-08-07,flink,19
2013-08-21,flink,11
2013-09-04,flink,23
2013-09-18,flink,25
2013-10-02,flink,33
2013-10-16,flink,65
2013-10-30,flink,60
2013-11-13,flink,9
2013-11-27,flink,47
2013-12-11,flink,77
2013-12-25,flink,7
2014-01-08,flink,27
2014-01-22,flink,21
2014-02-05,flink,57
2014-02-19,flink,40
2014-03-05,flink,54
2014-03-19,flink,31
2014-04-02,flink,52
2014-04-16,flink,67
2014-04-30,flink,111
2014-05-14,flink,96
2014-05-28,flink,50
2014-06-11,flink,77
2014-06-25,flink,52
2014-07-09,flink,42
2014-07-23,flink,19
2014-08-06,flink,606
2014-08-20,flink,64
2014-09-03,flink,25
2014-09-17,flink,168
2014-10-01,flink,87
2014-10-15,flink,48
2014-10-29,flink,53
2014-11-12,flink,66
