,project,kendal_v,kendal_p,spearman_v,spearman_p,y_column,x_column
49,dubbo,0.05173040525420898,0.10086224124740291,0.06435694223258198,0.09602186925864728,documentation-debt,commits_per_14days
50,flink,0.45937350991486403,2.6380642399233368e-211,0.6458712675643236,6.019242339375024e-243,code|design-debt,commits_per_14days
51,flink,0.4435541530139011,8.13285210326102e-191,0.6172761817516408,4.016043565879538e-216,test-debt,commits_per_14days
52,flink,0.4705075647705494,3.382117763423609e-219,0.658534297692832,9.011149870618098e-256,requirement-debt,commits_per_14days
53,flink,0.43901732674818406,1.7807046191134154e-182,0.6169541791283816,7.765543657143002e-216,documentation-debt,commits_per_14days
54,hadoop,-0.35623212891194894,2.9293429086866915e-196,-0.4929576926200237,2.007542823338634e-193,code|design-debt,commits_per_14days
55,hadoop,-0.35225953180442104,2.127425535723699e-188,-0.48560379291808514,6.391402011822618e-187,test-debt,commits_per_14days
56,hadoop,-0.347494740279897,5.795399457958328e-186,-0.47913038990948076,2.510757543116267e-181,requirement-debt,commits_per_14days
57,hadoop,-0.35592297873767903,3.369348700314057e-184,-0.48712574179835044,2.970155999904115e-188,documentation-debt,commits_per_14days
58,maven,0.03290306735092511,0.5232376492061217,0.06579582465689826,0.3801906057997485,code|design-debt,commits_per_14days
59,maven,-0.11060221389463244,0.06287794854234814,-0.1395840377899313,0.06164659163481008,test-debt,commits_per_14days
60,maven,0.05868117298835661,0.26772575712992985,0.0911854552773326,0.22345350315563967,requirement-debt,commits_per_14days
61,maven,-0.033404614619273874,0.5838437819847813,-0.041915996490911364,0.5763733706771539,documentation-debt,commits_per_14days
62,pulsar,0.2785579126564994,3.182603585881176e-23,0.3831166730747117,1.2015957141889226e-21,code|design-debt,commits_per_14days
63,pulsar,0.28668558466804483,1.475911018276721e-23,0.38543712487788184,6.538634374990788e-22,test-debt,commits_per_14days
64,pulsar,0.12018651434620435,2.3091354325641774e-05,0.14052358032229645,0.0007042287628243255,requirement-debt,commits_per_14days
65,pulsar,0.27256669260601163,1.3246924411147193e-18,0.361280189692283,2.9181345696601875e-19,documentation-debt,commits_per_14days
66,druid,-0.5656611459600557,3.2775724030531884e-187,-0.7510581259805014,6.52710540460349e-238,code|design-debt,releases_per_60days
67,druid,-0.580772101055927,2.8483576904816325e-176,-0.7518040806421777,1.2118562895849364e-238,test-debt,releases_per_60days
68,druid,-0.5745564807057094,5.367533124545169e-186,-0.7493319331499378,3.140427956468414e-236,requirement-debt,releases_per_60days
69,druid,-0.5256321519128668,4.1213327370402956e-138,-0.6935933151771267,2.1131063097885602e-188,documentation-debt,releases_per_60days
70,dubbo,0.319967943706331,3.8260557898349806e-30,0.42195049437266696,2.6358552313128683e-30,code|design-debt,releases_per_60days
71,dubbo,0.3204902163145225,6.785806308515289e-26,0.3895430924384854,1.0551431462251927e-25,test-debt,releases_per_60days
72,dubbo,0.39632512515196466,1.4328213826175544e-44,0.5188272377427071,1.9273818906996372e-47,requirement-debt,releases_per_60days
73,dubbo,0.04174466637751832,0.21662209208622019,0.04954925543569547,0.20021379899320005,documentation-debt,releases_per_60days
74,flink,0.4168978834453489,1.9603253980813853e-159,0.5746096891948613,6.829027259611168e-181,code|design-debt,releases_per_60days
75,flink,0.3797251049158771,2.243805631995884e-128,0.5362512414187132,2.2832420623302863e-153,test-debt,releases_per_60days
76,flink,0.39324448698256675,1.4498628942795054e-140,0.554136351429241,9.356236828888386e-166,requirement-debt,releases_per_60days
77,flink,0.41054974557713314,3.950293032510638e-146,0.5589428177323041,3.2513241884360776e-169,documentation-debt,releases_per_60days
78,hadoop,-0.10785095716895912,7.058232794896049e-17,-0.143302218175551,5.52677205163794e-16,code|design-debt,releases_per_60days
79,hadoop,-0.12653992846108295,3.009256016268087e-22,-0.15779139505312015,4.331714104725342e-19,test-debt,releases_per_60days
80,hadoop,-0.11821860292761233,7.084878337093997e-20,-0.15909212927808836,2.2023161895840775e-19,requirement-debt,releases_per_60days
81,hadoop,-0.12719333762055962,1.4213010233094683e-21,-0.15831382770547966,3.303409961446867e-19,documentation-debt,releases_per_60days
82,maven,0.46102549249677705,3.459078079907931e-16,0.5689877707755011,7.867352652624046e-17,code|design-debt,releases_per_60days
83,maven,0.11372584762520596,0.08130947736485744,0.13509272798433736,0.07058626560240676,test-debt,releases_per_60days
84,maven,0.5205511771951514,3.125931987394256e-19,0.6593150695235391,8.072759662566795e-24,requirement-debt,releases_per_60days
85,maven,0.00023972305737619612,0.9971415778304166,-0.008390497138805752,0.910991462690284,documentation-debt,releases_per_60days
86,pulsar,0.27080222278213384,4.354470888351383e-20,0.3743357410223702,1.1503508143202229e-20,code|design-debt,releases_per_60days
87,pulsar,0.2751124009214636,6.837219080936712e-20,0.37095526468325757,2.695365290587533e-20,test-debt,releases_per_60days
88,pulsar,0.270122319782233,1.4534355055104555e-19,0.38618153092196106,5.3735319804354835e-22,requirement-debt,releases_per_60days
89,pulsar,0.29548099374062364,1.1177337464913765e-19,0.3666122345574249,7.931119478634278e-20,documentation-debt,releases_per_60days
