date,open_issues 
1634636475.0,1341
1634636848.0,1342
1634637918.0,1343
1634641126.0,1344
1634653839.0,1345
1634659393.0,1346
1634678417.0,1345
1634699446.0,1344
1634760984.0,1343
1634778973.0,1344
1634781276.0,1343
1634785993.0,1344
1634797783.0,1343
1634797835.0,1342
1634837198.0,1343
1634874611.0,1344
1634906735.0,1345
1634913837.0,1346
1635122386.0,1345
1635122466.0,1344
1635124505.0,1345
1635155011.0,1346
1635155925.0,1347
1635171924.0,1348
1635178908.0,1347
1635189759.0,1348
1635199559.0,1349
1635204502.0,1350
1635216801.0,1351
1635227643.0,1352
1635245503.0,1353
1635266474.0,1354
1635267048.0,1353
1635298636.0,1354
1635300100.0,1353
1635306104.0,1352
1635320056.0,1353
1635323781.0,1354
1635325615.0,1355
1635411310.0,1356
1635412641.0,1357
1635418998.0,1356
1635468858.0,1355
1635484504.0,1356
1635484519.0,1355
1635484619.0,1356
1635496532.0,1357
1635512693.0,1358
1635555268.0,1357
1635593611.0,1358
1635600662.0,1357
1635610463.0,1356
1635694932.0,1357
1635695352.0,1358
1635695630.0,1359
1635697047.0,1360
1635697283.0,1361
1635697976.0,1362
1635708597.0,1363
1635708928.0,1364
1635739653.0,1365
1635743949.0,1364
1635749078.0,1365
1635771149.0,1364
1635779043.0,1365
1635804741.0,1366
1635805134.0,1367
1635805229.0,1368
1635805912.0,1369
1635857137.0,1370
1635902787.0,1369
1635907064.0,1370
1635908500.0,1371
1635915427.0,1370
1635925351.0,1371
1635989714.0,1370
1635993035.0,1371
1635993909.0,1372
1635996455.0,1373
1635996456.0,1374
1635997969.0,1373
1635999274.0,1372
1636015233.0,1371
1636017472.0,1372
1636026343.0,1373
1636028295.0,1374
1636034808.0,1375
1636039091.0,1374
1636046573.0,1375
1636075857.0,1374
1636083039.0,1373
1636083561.0,1374
1636085014.0,1375
1636121104.0,1374
1636135166.0,1375
1636198597.0,1376
1636209541.0,1375
1636211185.0,1374
1636211322.0,1373
1636211963.0,1372
1636212133.0,1371
1636219589.0,1370
1636358036.0,1371
1636360497.0,1370
1636365957.0,1371
1636370469.0,1370
1636379649.0,1371
1636383678.0,1372
1636384126.0,1373
1636384333.0,1374
1636426155.0,1375
1636429751.0,1376
1636452259.0,1377
1636454797.0,1376
1636457540.0,1377
1636464694.0,1376
1636525373.0,1377
1636529404.0,1378
1636533780.0,1377
1636535993.0,1378
1636536539.0,1379
1636540790.0,1380
1636544319.0,1381
1636546660.0,1380
1636549707.0,1381
1636551551.0,1382
1636566250.0,1383
1636624129.0,1384
1636625304.0,1385
1636627268.0,1386
1636627410.0,1387
1636636130.0,1388
1636637405.0,1389
1636641775.0,1390
1636649502.0,1391
1636659578.0,1392
1636671699.0,1391
1636687834.0,1392
1636693902.0,1391
1636706272.0,1392
1636713155.0,1393
1636735452.0,1394
1636766131.0,1393
1636767833.0,1392
1636793953.0,1393
1636794203.0,1394
1636794215.0,1393
1636794410.0,1394
1636834681.0,1395
1636841992.0,1394
1636896458.0,1395
1636903095.0,1396
1636937552.0,1395
1636950629.0,1396
1636967011.0,1397
1636983019.0,1398
1637024225.0,1397
1637025336.0,1398
1637030183.0,1399
1637048564.0,1400
1637057893.0,1401
1637072239.0,1402
1637072596.0,1401
1637074308.0,1402
1637080069.0,1401
1637109834.0,1400
1637122135.0,1401
1637135015.0,1402
1637138732.0,1401
1637139625.0,1400
1637166559.0,1401
1637200066.0,1402
1637219072.0,1403
1637220103.0,1402
1637222566.0,1401
1637224760.0,1402
1637239058.0,1401
1637255750.0,1402
1637290608.0,1403
1637290886.0,1404
1637293267.0,1405
1637304936.0,1404
1637306097.0,1405
1637306326.0,1404
1637309602.0,1405
1637317092.0,1404
1637319802.0,1405
1637320977.0,1406
1637333057.0,1407
1637333802.0,1406
1637391718.0,1407
1637403609.0,1406
1637424463.0,1405
1637432332.0,1406
1637470155.0,1405
1637522037.0,1406
1637546233.0,1405
1637553134.0,1406
1637560004.0,1407
1637564406.0,1408
1637576512.0,1409
1637604007.0,1410
1637604432.0,1411
1637667894.0,1412
1637672861.0,1413
1637722136.0,1414
1637736248.0,1415
1637739100.0,1414
1637740308.0,1415
1637744486.0,1414
1637744692.0,1413
1637748477.0,1414
1637761688.0,1413
1637769670.0,1414
1637773525.0,1415
1637800845.0,1414
1637806192.0,1415
1637807506.0,1414
1637811129.0,1415
1637811772.0,1416
1637828098.0,1417
1637841090.0,1416
1637846964.0,1415
1637852503.0,1416
1637908315.0,1417
1637929821.0,1418
1638002259.0,1419
1638087101.0,1420
1638151795.0,1419
1638158443.0,1420
1638170046.0,1421
1638174644.0,1420
1638177197.0,1421
1638183701.0,1422
1638196819.0,1423
1638207143.0,1422
1638244395.0,1421
1638247309.0,1422
1638248751.0,1423
1638265773.0,1424
1638270658.0,1425
1638270895.0,1426
1638271440.0,1427
1638271637.0,1428
1638275686.0,1427
1638276300.0,1428
1638277967.0,1427
1638306549.0,1426
1638336571.0,1425
1638340609.0,1426
1638348179.0,1427
1638348673.0,1426
1638356874.0,1425
1638366362.0,1426
1638371770.0,1427
1638381040.0,1428
1638389667.0,1427
1638413302.0,1428
1638430079.0,1429
1638435509.0,1430
1638451733.0,1431
1638453169.0,1430
1638454134.0,1429
1638458895.0,1428
1638459747.0,1429
1638464107.0,1430
1638467332.0,1431
1638475856.0,1432
1638489795.0,1433
1638500903.0,1434
1638500913.0,1433
1638511904.0,1432
1638525030.0,1433
1638531812.0,1434
1638543255.0,1435
1638544904.0,1434
1638552826.0,1435
1638553545.0,1436
1638553930.0,1437
1638555678.0,1438
1638587693.0,1437
1638712931.0,1438
1638759466.0,1437
1638765439.0,1438
1638766184.0,1439
1638786504.0,1440
1638799462.0,1439
1638800893.0,1440
1638808304.0,1441
1638812037.0,1442
1638830477.0,1441
1638846546.0,1442
1638849686.0,1443
1638858249.0,1444
1638861614.0,1445
1638865920.0,1444
1638866503.0,1445
1638878214.0,1446
1638878328.0,1445
1638881024.0,1446
1638881667.0,1447
1638882715.0,1448
1638884049.0,1449
1638896931.0,1448
1638925990.0,1449
1638945822.0,1448
1638973227.0,1449
1639017851.0,1448
1639032978.0,1447
1639039519.0,1448
1639040955.0,1447
1639042438.0,1448
1639049807.0,1449
1639050504.0,1450
1639053475.0,1451
1639058088.0,1452
1639059477.0,1453
1639069793.0,1454
1639070706.0,1453
1639073539.0,1452
1639098859.0,1451
1639103806.0,1452
